"Object Storage Settings","对象存储设置"
"Create a {0} profile and enter its private OSS bucket.","创建用途为 {0} 的配置档，并填写它的私有 OSS Bucket。"
"Create Profile","创建配置档"
"Connected and enabled.","已连接并启用。"
"The profile is ready. Enable the feature when needed.","配置档已就绪，可按需启用功能。"
"Open Profile","打开配置档"
"Save, Test and Enable","保存、测试并启用"
"Only business-archive attachments will move to colder storage.","只有 business-archive 附件会转入更冷的存储类型。"
"Optional: review classification and the tag-filtered OSS lifecycle rule.","可选：复核附件分类和按标签过滤的 OSS 生命周期规则。"
"Review Attachments","复核附件设置"
"Self-service attachment restore is enabled.","附件自助恢复已启用。"
"Restore settings are reviewed but the feature is disabled.","恢复设置已复核，但功能尚未启用。"
"Optional: review restore roles, time, charges, and notifications.","可选：复核恢复角色、时效、费用和通知。"
"Review Restore","复核恢复设置"
"Select or create a profile","选择或创建配置档"
"Test required before enabling","启用前需要测试"
"No profile selected","尚未选择配置档"
"Saving, testing, and enabling {0}...","正在保存、测试并启用 {0}……"
"{0} is tested and enabled.","{0} 已通过测试并启用。"
"Setup needs attention","配置需要处理"
"Create or select a profile.","请创建或选择配置档。"
"Enter the OSS bucket name.","请填写 OSS Bucket 名称。"
"Confirm that the bucket is private.","请确认 Bucket 为私有。"
"Confirm that Block Public Access is enabled.","请确认已启用 Block Public Access。"
"Production Alibaba Cloud profiles must use the Jakarta internal endpoint.","阿里云生产配置档必须使用雅加达内网 Endpoint。"
"Run the Full Read/Write Test.","请运行完整读写测试。"
"Settings changed after the last Full Test.","完整测试通过后配置又发生了变化。"
"Enable the profile after its test passes.","完整测试通过后启用配置档。"
"Use Save, Test and Enable to fix the sequence automatically.","请使用“保存、测试并启用”，系统会自动按正确顺序处理。"
"Complete the required profile fields, then try again.","请补齐配置档必填项后重试。"
"Production Alibaba Cloud OSS must use the Jakarta region and internal endpoint.","阿里云 OSS 生产环境必须使用雅加达地域和内网 Endpoint。"
"Use an ECS Instance RAM Role or Default Credential Chain in production.","生产环境请使用 ECS 实例 RAM 角色或默认凭证链。"
"Attachment Actions","附件操作"
"Backup Actions","备份操作"
"Profile Setup Help","配置档设置说明"
"Safe default","安全默认值"
"Unmatched attachments are unclassified and remain Standard. Detailed rules assign retention tags; they do not choose the bucket.","未命中的附件保持 unclassified 和 Standard。详细规则只分配保留标签，不决定使用哪个 Bucket。"
"Attachment cold storage is optional.","附件冷存储是可选功能。"
"Only objects tagged retention=business-archive match the recommended 30 / 90 / 365 day OSS lifecycle rule. The app never creates this rule.","只有带 retention=business-archive 标签的对象才匹配建议的 30 / 90 / 365 天 OSS 生命周期规则；应用不会自动创建该规则。"
"Archived attachments must be restored before download. Backup recovery remains a System Manager runbook.","归档附件下载前必须先恢复；备份恢复仍由 System Manager 按运行手册处理。"
"Production","生产"
"Staging","预发布"
"Development","开发"
"Default Credential Chain","默认凭证链"
"Attachment Classification","附件分类"
"More Attachment Settings","更多附件设置"
"Edit Classification Rules","编辑分类规则"
"Custom Attachment Lifecycle","自定义附件生命周期"
"More Backup Settings","更多备份设置"
"Optional OSS Backup Lifecycle","可选 OSS 备份生命周期"
"Object Prefix (Optional)","对象前缀（可选）"
"Successful Daily Restore Points to Keep","保留的成功每日恢复点数量"
"{0} items available, {1} item(s) need attention","{0} 项可用，{1} 项需要处理"
"Attachment upload, download, and database backup can continue. Archive rules still need attention.","附件上传、下载和数据库备份可继续运行；归档规则仍需处理。"
"Object storage is configured and healthy.","对象存储已配置且运行正常。"
"Follow the next highlighted action. The assistant handles save, verification, and enablement in order.","请执行当前突出显示的操作；助手会按顺序完成保存、验证和启用。"
"Start Setup","开始配置"
"Continue Setup","继续配置"
"Fix Problem","修复问题"
"Run Health Check","运行健康检查"
"Available","可用"
"Needs Attention","需要处理"
"Check Failed","检查失败"
"Not Configured","尚未配置"
"Not Drilled","尚未演练"
"Database Backups","数据库备份"
"Attachment Archive","附件归档"
"The Backup Bucket is ready. Create the first database restore point.","备份 Bucket 已就绪，请创建第一个数据库恢复点。"
"Back Up Now","立即备份"
"Upload, download, Range, and permission checks passed.","上传、下载、Range 和权限检查已通过。"
"Create the 30-day IA and 365-day Archive lifecycle rule.","请创建 30 天转 IA、365 天转 Archive 的生命周期规则。"
"Business archives move to IA after 30 days and Archive after 365 days.","业务归档附件在 30 天后转 IA、365 天后转 Archive。"
"Set Up Attachment Storage","配置附件存储"
"Set Up Database Backups","配置数据库备份"
"Bucket Name","Bucket 名称"
"Leave blank for a dedicated bucket. Use it only to isolate a site or environment inside a shared bucket.","独立 Bucket 请留空；仅在共享 Bucket 中隔离站点或环境时填写。"
"The role must be attached to the Jakarta ECS instance. Docker obtains temporary credentials from ECS metadata.","该角色必须绑定到雅加达 ECS 实例；Docker 会从 ECS 实例元数据获取临时凭证。"
"Save and Check","保存并检查"
"Attachment Storage Is Ready","附件存储已就绪"
"Database Backup Storage Is Ready","数据库备份存储已就绪"
"Not checked","尚未检查"
"Last checked: {0}","最近检查：{0}"
"Needs check","需要检查"
"Start Attachment Setup","开始附件配置"
"Uploads, downloads, Range, security, and current permissions are checked together.","系统会一次检查上传、下载、Range、安全设置和当前权限。"
"Classification assigns retention tags. It never moves a file to another bucket.","分类只分配保留标签，不会把文件移动到其他 Bucket。"
"Item main images, logos, and avatars","Item 主图、Logo 和头像"
"Always Standard","永久保持 Standard"
"Item and BOM technical documents","Item 和 BOM 技术资料"
"Keep online","保持在线"
"Orders, invoices, receipts, Stock Entries, and quality attachments","订单、发票、收货、Stock Entry 和质检附件"
"IA after 30 days; Archive after 365 days","30 天后转 IA，365 天后转 Archive"
"Unmatched attachments","无法识别的附件"
"Keep Standard","保持 Standard"
"Preview an Attachment","预览某个附件"
"Recalculate Existing Attachments","重新计算现有附件"
"Long-term Attachment Storage","附件长期存储"
"Recent","最近"
"After {0} days","{0} 天后"
"IA ZRS, immediate download","IA ZRS，可立即下载"
"Archive ZRS, restore before download","Archive ZRS，下载前需要恢复"
"Cold Archive","Cold Archive"
"Not used","不使用"
"Automatic deletion","自动删除"
"Never","永不"
"Only objects tagged retention=business-archive use this OSS rule. Missing lifecycle rules do not block normal attachment storage.","只有带 retention=business-archive 标签的对象使用此 OSS 规则；Lifecycle 缺失不会阻塞普通附件存储。"
"Configure OSS Archive Rule","配置 OSS 归档规则"
"Check Again","重新检查"
"Custom Lifecycle","自定义生命周期"
"Daily Full Database Backup","数据库每日全量备份"
"Schedule: daily at 02:00 · Keep 30 successful daily restore points","执行时间：每天 02:00 · 保留 30 个成功每日恢复点"
"Local folder backups include only files still stored on this server; they do not duplicate Attachment Bucket objects.","本地目录备份只包含仍保存在服务器上的文件，不会重复备份 Attachment Bucket 中的对象。"
"A failed backup never removes an existing successful restore point.","备份失败绝不会删除已有的成功恢复点。"
"Back Up Now and Verify","立即备份并验证"
"Start Backup Setup","开始备份配置"
"Latest success","最近成功"
"Latest size","最近大小"
"Estimated OSS usage","预计 OSS 占用"
"Recovery point objective","恢复点目标"
"Up to approximately 24 hours","最多可能丢失约 24 小时数据"
"Collecting data","正在收集数据"
"When a user opens an archived attachment, Frappe shows a Restore button instead of a download error. The request is permission-checked, polled every 15 minutes, and the user is notified when the temporary readable copy is ready.","用户打开归档附件时，Frappe 会显示恢复按钮而不是下载错误；系统检查权限、每 15 分钟轮询，并在临时可读副本就绪时通知用户。"
"Ordinary Standard and IA attachments download immediately. Backup recovery remains a System Manager runbook.","普通 Standard 和 IA 附件可立即下载；备份恢复仍由 System Manager 按运行手册执行。"
"Bucket Check Needs Attention","Bucket 检查需要处理"
"Bucket Configuration Passed","Bucket 配置检查已通过"
"Technical Details","技术详情"
"Configure OSS Attachment Archive Rule","配置 OSS 附件归档规则"
"Open OSS and Configure","打开 OSS 并配置"
"I Finished, Check Again","已完成，重新检查"
"The app only reads this rule. It never changes OSS lifecycle settings.","应用只读取此规则，绝不会修改 OSS 生命周期设置。"
"Recommended 30/365 attachment policy and 30 backup restore points were applied.","已应用附件 30/365 策略和 30 个备份恢复点。"
"The app cannot check bucket security. Add oss:GetBucketInfo to the generated RAM policy.","应用无法检查 Bucket 安全设置；请把 oss:GetBucketInfo 加入生成的 RAM 策略。"
"The app cannot read lifecycle rules. Add oss:GetBucketLifecycle and check again.","应用无法读取生命周期规则；请加入 oss:GetBucketLifecycle 后重新检查。"
"Zone-redundant storage","同城冗余存储"
"Bucket redundancy: {0}","Bucket 冗余类型：{0}"
"Update RAM Policy","更新 RAM 策略"
"Bucket security could not be checked.","无法检查 Bucket 安全设置。"
"The existing storage feature remains enabled. Update the read-only RAM permission, then check again.","现有存储功能保持启用；请更新只读 RAM 权限后重新检查。"
"Copy Updated RAM Policy","复制更新后的 RAM 策略"
"Updated least-privilege RAM Policy copied.","更新后的最小权限 RAM 策略已复制。"
